;RaumeinheitSort;Raumeinheit;GliederungSort;Gliederung;Zimmer;GemeinnuetzigSort;GemeinnuetzigLang;EinheitSort;EinheitLang;mean;Grundgesamtheit;Sample1;Sample2
1112;3;Quartiergruppen;78;Fluntern und Hottingen;3;0;Alle Wohnungen;1;Wohnung;2571.0;2071;381;121
1113;3;Quartiergruppen;79;Hirslanden und Witikon;3;0;Alle Wohnungen;1;Wohnung;1877.0;2774;531;106
1114;3;Quartiergruppen;80;Kreis 8;3;0;Alle Wohnungen;1;Wohnung;2429.0;3026;711;128
1115;3;Quartiergruppen;91;Albisrieden;3;0;Alle Wohnungen;1;Wohnung;1617.0;4056;1393;75
1116;3;Quartiergruppen;92;Altstetten;3;0;Alle Wohnungen;1;Wohnung;1646.0;6626;1838;96
1117;3;Quartiergruppen;101;Höngg;3;0;Alle Wohnungen;1;Wohnung;1830.0;3684;1384;60
1118;3;Quartiergruppen;102;Wipkingen;3;0;Alle Wohnungen;1;Wohnung;1659.0;3400;972;66
1119;3;Quartiergruppen;111;Affoltern;3;0;Alle Wohnungen;1;Wohnung;1590.0;3906;1685;84
1120;3;Quartiergruppen;115;Oerlikon;3;0;Alle Wohnungen;1;Wohnung;1904.0;3976;977;68
1121;3;Quartiergruppen;119;Seebach;3;0;Alle Wohnungen;1;Wohnung;1702.0;4067;1363;77
1122;3;Quartiergruppen;123;Hirzenbach;3;0;Alle Wohnungen;1;Wohnung;1369.0;2414;1265;51
1123;3;Quartiergruppen;129;Saatlen und Schwamendingen-Mitte;3;0;Alle Wohnungen;1;Wohnung;1388.0;3451;1343;131
1124;3;Quartiergruppen;0;Ganze Stadt;4;0;Alle Wohnungen;1;Wohnung;2185.0;40897;13851;1713
1125;3;Quartiergruppen;10;Kreis 1;4;0;Alle Wohnungen;1;Wohnung;2901.0;459;160;80
1126;3;Quartiergruppen;20;Kreis 2;4;0;Alle Wohnungen;1;Wohnung;2371.0;3720;1230;166
1127;3;Quartiergruppen;34;Sihlfeld;4;0;Alle Wohnungen;1;Wohnung;2051.0;1611;256;73
1128;3;Quartiergruppen;39;Alt-Wiedikon und Friesenberg;4;0;Alle Wohnungen;1;Wohnung;2043.0;2575;1189;112
1129;3;Quartiergruppen;44;Hard;4;0;Alle Wohnungen;1;Wohnung;1741.0;890;470;49
1130;3;Quartiergruppen;49;Werd und Langstrasse;4;0;Alle Wohnungen;1;Wohnung;2462.0;1306;194;98
1131;3;Quartiergruppen;50;Kreis 5;4;0;Alle Wohnungen;1;Wohnung;2291.0;1388;485;69
1132;3;Quartiergruppen;61;Unterstrass;4;0;Alle Wohnungen;1;Wohnung;2206.0;2442;823;74
1133;3;Quartiergruppen;63;Oberstrass;4;0;Alle Wohnungen;1;Wohnung;2705.0;1067;201;60
1134;3;Quartiergruppen;78;Fluntern und Hottingen;4;0;Alle Wohnungen;1;Wohnung;3001.0;1838;290;108
1135;3;Quartiergruppen;79;Hirslanden und Witikon;4;0;Alle Wohnungen;1;Wohnung;2420.0;1924;319;94
1136;3;Quartiergruppen;80;Kreis 8;4;0;Alle Wohnungen;1;Wohnung;2872.0;1637;400;104
